2020-11-25 16:43:52,017 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/admin/users/by],methods=[GET],params=[],headers=[],consumes=[],produces=[application/json],custom=[]}" onto public com.gmail.ponomarenko.model.User com.gmail.ponomarenko.web.user.AdminRestController.getByMail(java.lang.String)
2020-11-25 16:43:52,018 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/profile],methods=[GET],params=[],headers=[],consumes=[],produces=[application/json],custom=[]}" onto public com.gmail.ponomarenko.model.User com.gmail.ponomarenko.web.user.ProfileRestController.get()
2020-11-25 16:43:52,019 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/profile],methods=[DELETE],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.gmail.ponomarenko.web.user.ProfileRestController.delete()
2020-11-25 16:43:52,019 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/profile],methods=[PUT],params=[],headers=[],consumes=[application/json],produces=[],custom=[]}" onto public void com.gmail.ponomarenko.web.user.ProfileRestController.update(com.gmail.ponomarenko.model.User)
2020-11-25 16:43:52,019 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/profile/text],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.gmail.ponomarenko.web.user.ProfileRestController.testUTF()
2020-11-25 16:43:52,020 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/users],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.gmail.ponomarenko.web.user.UserController.userList(org.springframework.ui.Model)
2020-11-25 16:43:52,043 INFO  RequestMappingHandlerAdapter [RequestMappingHandlerAdapter.java:518] Looking for @ControllerAdvice: org.springframework.context.support.GenericApplicationContext@f5b42fef: startup date [Wed Nov 25 16:43:48 MSK 2020]; root of context hierarchy
2020-11-25 16:43:52,066 DEBUG ExceptionHandlerExceptionResolver [ExceptionHandlerExceptionResolver.java:257] Looking for exception mappings: org.springframework.context.support.GenericApplicationContext@f5b42fef: startup date [Wed Nov 25 16:43:48 MSK 2020]; root of context hierarchy
2020-11-25 16:43:52,094 INFO  SimpleUrlHandlerMapping [AbstractUrlHandlerMapping.java:314] Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2020-11-25 16:43:52,149 INFO  ScriptUtils [ScriptUtils.java:432] Executing SQL script from class path resource [db/populateDB.sql]
2020-11-25 16:43:52,161 INFO  ScriptUtils [ScriptUtils.java:491] Executed SQL script from class path resource [db/populateDB.sql] in 11 ms.
2020-11-25 16:43:52,275 INFO  ScriptUtils [ScriptUtils.java:432] Executing SQL script from class path resource [db/populateDB.sql]
2020-11-25 16:43:52,288 INFO  ScriptUtils [ScriptUtils.java:491] Executed SQL script from class path resource [db/populateDB.sql] in 13 ms.
2020-11-25 16:43:52,298 INFO  ScriptUtils [ScriptUtils.java:432] Executing SQL script from class path resource [db/populateDB.sql]
2020-11-25 16:43:52,379 INFO  ScriptUtils [ScriptUtils.java:491] Executed SQL script from class path resource [db/populateDB.sql] in 80 ms.
2020-11-25 16:43:52,406 INFO  ScriptUtils [ScriptUtils.java:432] Executing SQL script from class path resource [db/populateDB.sql]
2020-11-25 16:43:52,421 INFO  ScriptUtils [ScriptUtils.java:491] Executed SQL script from class path resource [db/populateDB.sql] in 14 ms.
2020-11-25 16:43:52,477 INFO  XmlBeanDefinitionReader [XmlBeanDefinitionReader.java:317] Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2020-11-25 16:43:52,527 INFO  SQLErrorCodesFactory [SQLErrorCodesFactory.java:126] SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2020-11-25 16:43:52,531 INFO  ScriptUtils [ScriptUtils.java:432] Executing SQL script from class path resource [db/populateDB.sql]
2020-11-25 16:43:52,543 INFO  ScriptUtils [ScriptUtils.java:491] Executed SQL script from class path resource [db/populateDB.sql] in 11 ms.
2020-11-25 16:43:52,552 INFO  ScriptUtils [ScriptUtils.java:432] Executing SQL script from class path resource [db/populateDB.sql]
2020-11-25 16:43:52,565 INFO  ScriptUtils [ScriptUtils.java:491] Executed SQL script from class path resource [db/populateDB.sql] in 13 ms.
2020-11-25 16:43:52,582 INFO  ScriptUtils [ScriptUtils.java:432] Executing SQL script from class path resource [db/populateDB.sql]
2020-11-25 16:43:52,596 INFO  ScriptUtils [ScriptUtils.java:491] Executed SQL script from class path resource [db/populateDB.sql] in 13 ms.
2020-11-25 16:43:52,598 ERROR ExceptionUtil [LoggerWrapper.java:61] Not data found 
2020-11-25 16:43:52,601 INFO  ScriptUtils [ScriptUtils.java:432] Executing SQL script from class path resource [db/populateDB.sql]
2020-11-25 16:43:52,613 INFO  ScriptUtils [ScriptUtils.java:491] Executed SQL script from class path resource [db/populateDB.sql] in 12 ms.
2020-11-25 16:43:52,623 INFO  GenericApplicationContext [AbstractApplicationContext.java:862] Closing org.springframework.context.support.GenericApplicationContext@f5b42fef: startup date [Wed Nov 25 16:43:48 MSK 2020]; root of context hierarchy
2020-11-25 16:43:52,647 INFO  EhCacheManagerFactoryBean [EhCacheManagerFactoryBean.java:181] Shutting down EhCache CacheManager
2020-11-25 16:44:04,047 INFO  DefaultTestContextBootstrapper [AbstractTestContextBootstrapper.java:256] Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-11-25 16:44:04,089 INFO  DefaultTestContextBootstrapper [AbstractTestContextBootstrapper.java:182] Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1e7f25b3, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@a4cd2272, org.springframework.test.context.support.DirtiesContextTestExecutionListener@33a7d2d8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@8619ea5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6eb0b4e8]
2020-11-25 16:44:04,320 INFO  XmlBeanDefinitionReader [XmlBeanDefinitionReader.java:317] Loading XML bean definitions from class path resource [spring/spring-app.xml]
2020-11-25 16:44:04,471 INFO  XmlBeanDefinitionReader [XmlBeanDefinitionReader.java:317] Loading XML bean definitions from class path resource [spring/spring-tools.xml]
2020-11-25 16:44:04,724 INFO  XmlBeanDefinitionReader [XmlBeanDefinitionReader.java:317] Loading XML bean definitions from class path resource [spring/spring-db.xml]
2020-11-25 16:44:04,822 INFO  XmlBeanDefinitionReader [XmlBeanDefinitionReader.java:317] Loading XML bean definitions from class path resource [spring/spring-mvc.xml]
2020-11-25 16:44:05,009 INFO  DefaultListableBeanFactory [DefaultListableBeanFactory.java:829] Overriding bean definition for bean 'mvcContentNegotiationManager': replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
2020-11-25 16:44:05,011 INFO  DefaultListableBeanFactory [DefaultListableBeanFactory.java:829] Overriding bean definition for bean 'mvcUriComponentsContributor': replacing [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
2020-11-25 16:44:05,028 INFO  GenericApplicationContext [AbstractApplicationContext.java:510] Refreshing org.springframework.context.support.GenericApplicationContext@8b57b7ee: startup date [Wed Nov 25 16:44:05 MSK 2020]; root of context hierarchy
2020-11-25 16:44:05,365 INFO  PropertyPlaceholderConfigurer [PropertiesLoaderSupport.java:172] Loading properties file from class path resource [db/postgres.properties]
2020-11-25 16:44:05,581 INFO  EhCacheManagerFactoryBean [EhCacheManagerFactoryBean.java:129] Initializing EhCache CacheManager
2020-11-25 16:44:06,890 INFO  ScriptUtils [ScriptUtils.java:432] Executing SQL script from class path resource [db/initDB.sql]
2020-11-25 16:44:07,237 INFO  ScriptUtils [ScriptUtils.java:491] Executed SQL script from class path resource [db/initDB.sql] in 346 ms.
2020-11-25 16:44:07,238 INFO  ScriptUtils [ScriptUtils.java:432] Executing SQL script from class path resource [db/populateDB.sql]
2020-11-25 16:44:07,263 INFO  ScriptUtils [ScriptUtils.java:491] Executed SQL script from class path resource [db/populateDB.sql] in 25 ms.
2020-11-25 16:44:07,538 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/meals],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.gmail.ponomarenko.web.meal.UserMealController.userMealList(org.springframework.ui.Model)
2020-11-25 16:44:07,547 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/admin/users],methods=[GET],params=[],headers=[],consumes=[],produces=[application/json],custom=[]}" onto public java.util.List<com.gmail.ponomarenko.model.User> com.gmail.ponomarenko.web.user.AdminRestController.getAll()
2020-11-25 16:44:07,548 INFO  RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:220] Mapped "{[/rest/admin/users/{id}],methods=[GET],params=[],headers=[],consumes=[],produces=[application/json],custom=[]}" onto public com.gmail.ponomarenko.model.User com.gmail.ponomarenko.web.user.AdminRestController.get(int)
